Date	Open	High	Low	Close	Volume	Vol2	MA1	MA2	MA3	MA4	MA5	MA6
2014/04/21	2178.8000	2214.2000	2157.8000	2164.8000	1440.00	945977920	333						
2014/04/22	2162.2000	2179.3999	2146.2000	2172.2000	1325.00	859876544	575						
2014/04/23	2170.2000	2178.0000	2157.0000	2168.0000	616.00	400700160	639						
2014/04/24	2176.6001	2185.0000	2157.0000	2166.3999	790.00	513837408	695						
2014/04/25	2167.0000	2178.0000	2149.3999	2154.2000	754.00	489425088	757	2165.12					
2014/04/28	2146.0000	2155.2000	2123.3999	2126.0000	956.00	612044288	773	2157.36					
2014/04/29	2128.3999	2148.3999	2122.8000	2143.3999	488.00	312190912	750	2151.6					
2014/04/30	2144.0000	2144.0000	2131.0000	2132.8000	332.00	212997360	793	2144.56					
2014/05/05	2132.0000	2150.0000	2109.6001	2141.0000	956.00	609609984	915	2139.48					
2014/05/06	2145.2000	2159.8000	2129.2000	2132.6001	878.00	564370048	988	2135.16	2150.14				
2014/05/07	2132.0000	2138.0000	2119.6001	2119.6001	809.00	516855232	1056	2133.88	2145.62				
2014/05/08	2120.0000	2154.8000	2118.0000	2121.0000	1052.00	673297664	1155	2129.4	2140.5				
2014/05/09	2124.3999	2131.0000	2111.2000	2124.6001	764.00	486202624	1186	2127.76	2136.16				
2014/05/12	2132.8000	2170.8000	2129.3999	2167.8000	1502.00	971262976	1358	2133.12	2136.3				
2014/05/13	2171.2000	2171.2000	2152.6001	2154.8000	630.00	408552256	1435	2137.56	2136.36				
2014/05/14	2157.0000	2167.2000	2148.6001	2154.3999	748.00	483916736	1475	2144.52	2139.2				
2014/05/15	2150.2000	2154.0000	2130.6001	2133.8000	777.00	498941696	1606	2147.08	2138.24				
2014/05/16	2130.2000	2139.8000	2122.6001	2128.8000	1137.00	727310400	1888	2147.92	2137.84				
2014/05/19	2124.3999	2127.0000	2088.3999	2098.6001	1308.00	824962816	2047	2134.08	2133.6				
2014/05/20	2113.6001	2116.8000	2095.3999	2098.0000	923.00	583037824	2112	2122.72	2130.14	2140.14			
2014/05/21	2093.2000	2125.0000	2081.6001	2117.2000	1305.00	824302976	2186	2115.28	2129.9	2137.76			
2014/05/22	2126.8000	2152.2000	2112.8000	2114.6001	1459.00	932935872	2237	2111.44	2129.26	2134.88			
2014/05/23	2116.6001	2143.8000	2115.2000	2143.8000	1173.00	749393600	2322	2114.44	2131.18	2133.67			
2014/05/26	2146.0000	2163.2000	2137.6001	2149.0000	1041.00	671738624	2475	2124.52	2129.3	2132.8			
2014/05/27	2150.0000	2155.6001	2140.2000	2143.2000	1105.00	711697856	2766	2133.56	2128.14	2132.25			
2014/05/28	2145.2000	2174.8000	2129.0000	2174.2000	1749.00	1128494720	2918	2144.96	2130.12	2134.66			
2014/05/29	2175.0000	2176.6001	2159.6001	2163.0000	2288.00	1489333504	3441	2154.64	2133.04	2135.64			
2014/05/30	2164.2000	2170.8000	2152.3999	2159.0000	1559.00	1011254656	3678	2157.68	2136.06	2136.95			
2014/06/03	2166.3999	2176.8000	2156.0000	2156.6001	1780.00	1158067584	4268	2159.2	2141.86	2137.73			
2014/06/04	2159.0000	2160.2000	2130.6001	2142.8000	1684.00	1082515456	4362	2159.12	2146.34	2138.24	2142.207		
2014/06/05	2142.6001	2168.8000	2138.3999	2165.3999	1487.00	958516736	4682	2157.36	2151.16	2140.53	2142.227		
2014/06/06	2165.8000	2165.8000	2131.8000	2142.2000	1821.00	1173569536	4860	2153.2	2153.92	2141.59	2141.227		
2014/06/09	2142.2000	2168.0000	2132.6001	2144.0000	2179.00	1405001984	5020	2150.2	2153.94	2142.56	2140.427		
2014/06/10	2147.8000	2175.0000	2142.2000	2171.8000	3118.00	2022662528	5435	2153.24	2156.22	2142.76	2140.607		
2014/06/11	2171.8000	2172.0000	2160.8000	2165.8000	1518.00	986514944	5482	2157.84	2158.48	2143.31	2140.993		
2014/06/12	2165.3999	2172.0000	2161.6001	2163.3999	832.00	540599424	5539	2157.44	2157.4	2143.76	2142.24		
2014/06/13	2164.0000	2196.3999	2149.0000	2189.2000	2676.00	1750588416	5472	2166.84	2160.02	2146.53	2143.767		
2014/06/16	2199.0000	2211.0000	2186.2000	2200.6001	2654.00	1749707136	6083	2178.16	2164.18	2150.12	2146.027		
2014/06/17	2199.6001	2202.0000	2183.8000	2185.6001	1574.00	1034888896	6286	2180.92	2167.08	2154.47	2147.513		
2014/06/18	2186.0000	2190.8000	2175.0000	2176.6001	1415.00	926355136	6440	2183.08	2170.46	2158.4	2148.98		
2014/06/19	2177.6001	2180.6001	2137.2000	2147.0000	3227.00	2090713984	7082	2179.8	2168.62	2159.89	2149.893		
2014/06/20	2145.6001	2158.0000	2144.0000	2152.8000	2795.00	1804512768	7373	2172.52	2169.68	2161.8	2150.953		
2014/06/23	2153.8000	2168.0000	2144.0000	2145.0000	2236.00	1445449984	7528	2161.4	2169.78	2161.86	2151.633		
2014/06/24	2144.0000	2159.0000	2143.0000	2152.6001	1571.00	1013986944	7558	2154.8	2167.86	2162.04	2151.127		
2014/06/25	2150.0000	2154.0000	2138.2000	2148.8000	1398.00	899811904	7771	2149.24	2166.16	2162.32	2150.927		
2014/06/26	2149.8000	2166.6001	2148.3999	2157.2000	1839.00	1191727104	7555	2151.28	2165.54	2161.47	2151.02		
2014/06/27	2159.0000	2175.8000	2150.8000	2165.6001	2121.00	1376631168	7559	2153.84	2163.18	2161.6	2152.08		
2014/06/30	2165.6001	2186.0000	2164.8000	2175.2000	2436.00	1591182848	7514	2159.88	2160.64	2162.41	2153.627		
2014/07/01	2176.6001	2189.0000	2168.0000	2176.0000	2029.00	1325307904	7547	2164.56	2159.68	2163.38	2156.207		
2014/07/02	2178.2000	2184.0000	2165.0000	2184.0000	2213.00	1444785664	7582	2171.6	2160.42	2165.44	2159.073		
2014/07/03	2184.0000	2196.8000	2178.0000	2185.2000	2478.00	1625419264	7834	2177.2	2164.24	2166.43	2161.34		
2014/07/04	2187.0000	2189.8000	2178.8000	2182.8000	1415.00	926838784	7777	2180.64	2167.24	2168.46	2163.613		
2014/07/07	2183.0000	2188.8000	2173.6001	2177.0000	1967.00	1286236416	7920	2181	2170.44	2170.11	2164.72		
2014/07/08	2175.2000	2181.3999	2166.2000	2180.2000	1677.00	1093875200	8073	2181.84	2173.2	2170.53	2165.76		
2014/07/09	2179.0000	2180.8000	2146.6001	2146.8000	2147.00	1392637952	8193	2174.4	2173	2169.58	2165.88		
2014/07/10	2149.0000	2154.8000	2144.0000	2146.6001	1722.00	1110836480	8437	2166.68	2171.94	2168.74	2164.96		
2014/07/11	2146.3999	2164.6001	2144.0000	2153.8000	2149.00	1390348928	8432	2160.88	2170.76	2166.97	2164.653		
2014/07/14	2155.0000	2179.0000	2153.6001	2177.0000	2393.00	1555814272	8279	2160.88	2170.94	2165.79	2165.253		
2014/07/15	2180.2000	2182.0000	2169.8000	2174.6001	1462.00	954155392	8465	2159.76	2170.8	2165.24	2165.853		
2014/07/16	2175.6001	2185.0000	2173.0000	2173.2000	2315.00	1512743808	8835	2165.04	2169.72	2165.07	2166.867	2154.537	
2014/07/17	2175.0000	2176.0000	2155.0000	2166.3999	3669.00	2381994240	9936	2169	2167.84	2166.04	2166.9	2154.563	
2014/07/18	2165.3999	2181.8000	2158.2000	2170.3999	4528.00	2950175232	9951	2172.32	2166.6	2166.92	2167.84	2154.533	
2014/07/21	2170.3999	2177.0000	2164.2000	2171.6001	2936.00	1912380800	10117	2171.24	2166.06	2168.25	2168.76	2154.593	
2014/07/22	2168.6001	2207.2000	2164.8000	2199.3999	5275.00	3466438400	10105	2176.2	2167.98	2170.59	2169.68	2155.143	
2014/07/23	2197.0000	2220.2000	2196.8000	2203.8000	5710.00	3779368960	10589	2182.32	2173.68	2173.34	2170.947	2155.97	
2014/07/24	2204.8000	2258.0000	2204.8000	2255.6001	9289.00	6230041600	10653	2200.16	2184.58	2178.26	2174.02	2158.13	
2014/07/25	2255.6001	2298.6001	2255.6001	2297.0000	8325.00	5673292288	11794	2225.48	2198.9	2184.83	2177.613	2160.69	
2014/07/28	2297.0000	2376.8000	2296.0000	2356.6001	14668.00	10295621632	13621	2262.48	2216.86	2193.9	2182.813	2164.42	
2014/07/29	2357.2000	2376.6001	2349.6001	2355.2000	7851.00	5558649344	13806	2293.64	2234.92	2202.86	2188.467	2167.99	
2014/07/30	2352.0000	2366.0000	2345.3999	2349.2000	8991.00	6351929856	14532	2322.72	2252.52	2211.12	2194.22	2171.6	
2014/07/31	2353.0000	2392.0000	2344.0000	2392.0000	8738.00	6196597248	14564	2350	2275.08	2221.46	2202.387	2176.14	
2014/08/01	2382.0000	2415.2000	2355.8000	2365.0000	16696.00	11953302528	16337	2363.6	2294.54	2230.57	2209.46	2180.207	
2014/08/04	2365.8000	2417.0000	2365.6001	2409.2000	11872.00	8514915328	16684	2374.12	2318.3	2242.18	2218.267	2184.95	
2014/08/05	2406.6001	2417.8000	2386.0000	2394.0000	10667.00	7674795008	17374	2381.88	2337.76	2252.87	2226.313	2188.72	
2014/08/06	2423.0000	2423.0000	2363.0000	2387.0000	11493.00	8217923072	17626	2389.44	2356.08	2264.88	2234.253	2192.59	
2014/08/07	2386.0000	2399.8000	2358.0000	2361.0000	13496.00	9621554176	18589	2383.24	2366.62	2275.6	2241.047	2196.033	
2014/08/08	2361.6001	2375.0000	2353.2000	2364.3999	9669.00	6858155520	18702	2383.12	2373.36	2286.13	2247.673	2199.877	
2014/08/11	2368.0000	2396.8000	2367.3999	2384.0000	11828.00	8455534592	17964	2378.08	2376.1	2296.48	2254.633	2204.13	
2014/08/12	2389.0000	2389.0000	2370.3999	2388.2000	7541.00	5380357120	18073	2376.92	2379.4	2307.16	2261.707	2208.957	
2014/08/13	2389.0000	2391.3999	2354.6001	2381.6001	17769.00	12657712128	17938	2375.84	2382.64	2317.58	2268.293	2213.683	
2014/08/14	2382.0000	2389.3999	2355.2000	2360.3999	16117.00	11478045696	18291	2375.72	2379.48	2327.28	2274.133	2217.737	
2014/08/15	2364.0000	2398.8000	2361.6001	2393.3999	25246.00	18045396992	19725	2381.52	2382.32	2338.43	2281.153	2222.383	
2014/08/18	2399.0000	2410.0000	2384.3999	2392.2000	16758.00	12042334208	20357	2383.16	2380.62	2349.46	2288.327	2226.523	
2014/08/19	2393.0000	2400.0000	2373.6001	2390.6001	15246.00	10924588032	20726	2383.64	2380.28	2359.02	2295.34	2230.55	
2014/08/20	2391.3999	2394.0000	2376.3999	2379.6001	13935.00	9967121408	20919	2383.24	2379.54	2367.81	2303.1	2234.49	
2014/08/21	2381.2000	2384.6001	2352.8000	2371.3999	18559.00	13180286976	21411	2385.44	2380.58	2373.6	2310.593	2237.777	
2014/08/22	2372.2000	2392.3999	2367.6001	2391.3999	18786.00	13411687424	22117	2385.04	2383.28	2378.32	2318.513	2241.583	
2014/08/25	2387.0000	2395.0000	2362.2000	2370.0000	16610.00	11838811136	22497	2380.6	2381.88	2378.99	2324.947	2245.1	
2014/08/26	2370.0000	2377.6001	2351.2000	2358.8000	19525.00	13852364800	23379	2374.24	2378.94	2379.17	2331.087	2248.47	
2014/08/27	2360.3999	2368.3999	2355.8000	2358.2000	11216.00	7946637312	23727	2369.96	2376.6	2379.62	2337.253	2252.06	
2014/08/28	2360.6001	2365.0000	2344.6001	2352.3999	12732.00	8992665600	23435	2366.16	2375.8	2377.64	2343.453	2255.177	
2014/08/29	2351.8000	2373.0000	2350.3999	2371.3999	10811.00	7655678464	23721	2362.16	2373.6	2377.96	2350.153	2258.997	
2014/09/01	2371.6001	2379.0000	2363.0000	2368.8000	11944.00	8499651072	23303	2361.92	2371.26	2375.94	2356.727	2262.743	
2014/09/02	2368.3999	2415.0000	2367.2000	2411.0000	22434.00	16081965056	24465	2372.36	2373.3	2376.79	2363.78	2266.73	
2014/09/03	2415.0000	2447.3999	2412.3999	2434.6001	27606.00	20164009984	26439	2387.64	2378.8	2379.17	2371.473	2271.21	
2014/09/04	2436.0000	2470.0000	2434.6001	2470.0000	23125.00	16989057024	27163	2411.16	2388.66	2384.62	2378.62	2276.32	
2014/09/05	2470.6001	2500.2000	2469.2000	2495.6001	28459.00	21183897600	28098	2436	2399.08	2391.18	2385.24	2281.427	
2014/09/09	2496.0000	2498.8000	2475.0000	2483.3999	20587.00	15348562944	28734	2458.92	2410.42	2396.15	2389.467	2286.14	
2014/09/10	2477.8000	2478.0000	2454.6001	2465.3999	21481.00	15882273792	29672	2469.8	2421.08	2400.01	2393.14	2290.803	
2014/09/11	2465.8000	2498.8000	2441.3999	2442.6001	38898.00	28768507904	29214	2471.4	2429.52	2403.06	2396.253	2295.237	
2014/09/12	2442.0000	2466.0000	2438.6001	2461.3999	22870.00	16824453120	29289	2469.68	2440.42	2408.11	2398.567	2300.477	
2014/09/15	2455.0000	2464.0000	2445.0000	2456.0000	19682.00	14491476992	29705	2461.76	2448.88	2411.24	2401.6	2305.53	
2014/09/16	2453.0000	2475.3999	2407.0000	2415.0000	36884.00	27067052032	30187	2448.08	2453.5	2412.38	2401.793	2310.03	
2014/09/17	2421.2000	2429.6001	2409.2000	2424.0000	23448.00	17033858048	30492	2439.8	2454.8	2414.05	2402.793	2314.553	
2014/09/18	2425.0000	2436.0000	2412.6001	2426.8000	25040.00	18211139584	31879	2436.64	2454.02	2416.41	2404.12	2319.187	
2014/09/19	2427.0000	2459.3999	2425.0000	2454.3999	33190.00	24306495488	32035	2435.24	2452.46	2420.56	2407.233	2324.14	
2014/09/22	2450.0000	2451.8000	2388.3999	2400.2000	42530.00	30793285632	31072	2424.08	2442.92	2421	2408.427	2328.05	
2014/09/23	2395.0000	2429.2000	2395.0000	2416.3999	35734.00	25893021696	31568	2424.36	2436.22	2423.32	2409.507	2332.07	
2014/09/24	2416.0000	2483.8000	2407.0000	2482.8000	49377.00	36329619456	32520	2436.12	2437.96	2429.52	2412.66	2337.183	
2014/09/25	2487.2000	2512.8000	2461.2000	2470.6001	51406.00	38417068032	33446	2444.88	2440.76	2435.14	2415.627	2341.96	
2014/09/26	2464.3999	2479.0000	2449.6001	2465.0000	43121.00	31898923008	34252	2447	2441.12	2440.77	2419.113	2346.623	
2014/09/29	2466.0000	2476.0000	2454.0000	2467.8000	27727.00	20516431872	34090	2460.52	2442.3	2445.59	2421.593	2351.373	
2014/09/30	2467.3999	2479.0000	2460.0000	2468.0000	22362.00	16571740160	34379	2470.84	2447.6	2450.55	2424.12	2356.223	
2014/10/08	2471.2000	2499.8000	2461.3999	2498.2000	34053.00	25347786752	36418	2473.92	2455.02	2454.91	2427.707	2361.523	
2014/10/09	2500.6001	2509.8000	2482.8000	2492.0000	35801.00	26823809024	38369	2478.2	2461.54	2457.78	2431.453	2367.277	
2014/10/10	2484.8000	2497.3999	2471.2000	2482.8000	33273.00	24791547904	37048	2481.76	2464.38	2458.42	2435.167	2372.88	
2014/10/13	2481.6001	2481.6001	2440.0000	2466.6001	38889.00	28663758848	37473	2481.52	2471.02	2456.97	2437.673	2378.093	
2014/10/14	2460.8000	2475.6001	2436.0000	2449.0000	36986.00	27262144512	39252	2477.72	2474.28	2455.25	2440.307	2382.627	
2014/10/15	2452.0000	2472.0000	2437.0000	2464.0000	41811.00	30809452544	38710	2470.88	2472.4	2455.18	2443.813	2387.45	
2014/10/16	2457.2000	2486.6001	2448.2000	2454.6001	53168.00	39352119296	39374	2463.4	2470.8	2455.78	2447.027	2392.14	2273.338
2014/10/17	2461.0000	2466.8000	2429.6001	2448.8000	59469.00	43686711296	38131	2456.6	2469.18	2455.15	2450.24	2396.847	2275.705
2014/10/20	2454.0000	2464.0000	2447.3999	2458.8000	33173.00	24463110144	38189	2455.04	2468.28	2455.29	2453.153	2401.653	2278.093
2014/10/21	2460.0000	2468.0000	2441.0000	2443.8000	39715.00	29242304512	38492	2454	2465.86	2456.73	2455.653	2406.19	2280.392
2014/10/22	2445.8000	2457.0000	2431.6001	2433.3999	39511.00	28975265792	38071	2447.88	2459.38	2457.2	2456.4	2410.09	2282.617
2014/10/23	2431.2000	2440.8000	2407.2000	2409.8000	48149.00	35004325888	37384	2438.92	2451.16	2456.35	2455.573	2413.523	2284.747
2014/10/24	2412.0000	2418.2000	2401.8000	2402.8000	36062.00	26087921664	38500	2429.72	2443.16	2453.77	2453.333	2415.977	2287.053
2014/10/27	2397.2000	2397.2000	2373.8000	2386.3999	42689.00	30539726848	37959	2415.24	2435.14	2453.08	2449.693	2417.467	2289.078
2014/10/28	2389.2000	2433.0000	2388.6001	2431.3999	43623.00	31510902784	38949	2412.76	2433.38	2453.83	2447.96	2418.713	2291.567
2014/10/29	2435.0000	2475.8000	2429.0000	2464.2000	72552.00	53333991424	42054	2418.92	2433.4	2452.9	2447.92	2420.53	2294.26
2014/10/30	2461.2000	2478.6001	2457.3999	2474.2000	54336.00	40206254080	43560	2431.8	2435.36	2453.08	2448.973	2422.613	2297.107
2014/10/31	2475.3999	2529.2000	2475.3999	2528.2000	88125.00	66135769088	44991	2456.88	2443.3	2456.24	2451.2	2424.883	2300.512
2014/11/03	2531.0000	2534.6001	2514.2000	2517.0000	48767.00	36958580736	47544	2483	2449.12	2458.7	2453.233	2427.417	2303.812
2014/11/04	2508.2000	2523.0000	2508.2000	2516.3999	38573.00	29121032192	47121	2500	2456.38	2461.12	2456.613	2429.203	2307.077
2014/11/05	2517.0000	2529.8000	2505.6001	2519.3999	55531.00	41914540032	48818	2511.04	2464.98	2462.18	2459.793	2431.293	2310.007
2014/11/06	2523.0000	2526.0000	2494.8000	2523.0000	61857.00	46607728640	51945	2520.8	2476.3	2463.73	2463	2433.56	2313.075
2014/11/07	2527.0000	2555.0000	2491.6001	2502.2000	120457.00	91261837312	52208	2515.6	2486.24	2464.7	2464.593	2435.913	2315.973
2014/11/10	2521.0000	2576.0000	2515.0000	2572.2000	127327.00	97036320768	61278	2526.64	2504.82	2469.98	2470.327	2439.377	2319.627
2014/11/11	2578.2000	2598.0000	2539.0000	2557.2000	189406.00	146022563840	65052	2534.8	2517.4	2475.39	2475.02	2442.263	2323.197
2014/11/12	2559.6001	2597.6001	2551.0000	2591.2000	141064.00	108700827648	70971	2549.16	2530.1	2481.75	2478.633	2445.647	2327.302
2014/11/13	2591.2000	2595.6001	2569.0000	2578.0000	175239.00	135739891712	78192	2560.16	2540.48	2487.92	2482.213	2448.92	2331.302
2014/11/14	2575.3999	2585.2000	2556.8000	2585.2000	166627.00	128569720832	79762	2576.76	2546.18	2494.74	2486.22	2452.667	2335.202
2014/11/17	2595.8000	2620.6001	2567.0000	2574.0000	312505.00	242752045056	92518	2577.12	2551.88	2500.5	2489.76	2455.677	2339.03
2014/11/18	2572.0000	2576.8000	2542.2000	2550.2000	289752.00	222267719680	106626	2575.72	2555.26	2505.82	2492.5	2458.31	2342.417
2014/11/19	2551.0000	2558.0000	2537.3999	2541.3999	462933.00	353903116288	132285	2565.76	2557.46	2511.22	2493.94	2460.823	2345.687
2014/11/20	2535.3999	2553.8000	2526.2000	2553.2000	747887.00	570242629632	161058	2560.8	2560.48	2518.39	2495.98	2463.717	2349.103
2014/11/21	2552.0000	2604.6001	2538.3999	2602.8000	1073295.00	826861092864	174844	2564.32	2570.54	2528.39	2499.98	2467.573	2352.675
2014/11/24	2621.0000	2697.3999	2616.6001	2674.3999	1312102.00	1046770876416	175868	2584.4	2580.76	2542.79	2506.907	2472.29	2356.937
2014/11/25	2680.0000	2727.3999	2670.0000	2724.3999	1024900.00	828033400832	179733	2619.24	2597.48	2557.44	2516.087	2478.197	2361.648
2014/11/26	2724.6001	2750.6001	2713.3999	2745.6001	1244011.00	1019918942208	178527	2660.08	2612.92	2571.51	2525.473	2484.643	2366.557
2014/11/27	2747.3999	2767.3999	2728.0000	2754.8000	1123763.00	925670965248	174978	2700.4	2630.6	2585.54	2535.48	2491.253	2371.657
2014/11/28	2754.0000	2826.0000	2741.8000	2826.0000	1230047.00	1021395337216	169616	2745.04	2654.68	2600.43	2548.053	2499.147	2377.162
2014/12/01	2820.0000	2843.2000	2797.0000	2809.2000	1141574.00	965943689216	166358	2772	2678.2	2615.04	2559.733	2506.443	2382.72
2014/12/02	2807.3999	2988.0000	2805.6001	2936.0000	1843418.00	1595677343744	163194	2814.32	2716.78	2636.02	2576.14	2515.897	2389.32
2014/12/03	2946.0000	3062.0000	2942.0000	2996.2000	2127834.00	1917831741440	163644	2864.44	2762.26	2659.86	2594.9	2525.65	2396.19
2014/12/04	3002.2000	3198.6001	3002.0000	3195.8000	1966443.00	1821977870336	166738	2952.64	2826.52	2693.5	2621.1	2538.337	2404.773
2014/12/05	3210.0000	3259.2000	3107.0000	3147.8000	1285836.00	1228057739264	179999	3017	2881.02	2725.78	2645.933	2549.633	2412.977
